MACHINE_NAME,BROWSER,APPLICATION,GRID_NODE,APPLICATION_URL,TEST_NAME,TIMER_NAME,SITE,DATETIME_STAMP,DURATION,BROWSER_MEM,ECLIPSE_MEM
SPDWAYAUTOTEST,CHROME,KALIBRATESPEEDWAY_2.9_POC,NA,http://weu-speedwayapp1.kalibratetech.com/\#/,It is possible to login if valid credentials are provided,Launch Application: KALIBRATESPEEDWAY_2.9_POC,,2018-02-09T13:42:54.508+0000,2716,260192,730616
SPDWAYAUTOTEST,CHROME,KALIBRATESPEEDWAY_2.9_POC,NA,http://weu-speedwayapp1.kalibratetech.com/\#/,It is possible to login if valid credentials are provided,Login,,2018-02-09T13:42:59.971+0000,861,280452,730632
SPDWAYAUTOTEST,CHROME,KALIBRATESPEEDWAY_2.9_POC,NA,http://weu-speedwayapp1.kalibratetech.com/\#/,It is possible to login if valid credentials are provided,Launch Application: KALIBRATESPEEDWAY_2.9_POC,,2018-02-09T13:43:30.842+0000,1892,259616,730832
SPDWAYAUTOTEST,CHROME,KALIBRATESPEEDWAY_2.9_POC,NA,http://weu-speedwayapp1.kalibratetech.com/\#/,It is possible to login if valid credentials are provided,Login,,2018-02-09T13:43:36.457+0000,888,281448,730844
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Launch Application: KALIBRATE_TONY,,2018-02-09T14:21:35.255+0000,3200,256860,659400
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Login,,2018-02-09T14:22:23.903+0000,43975,264428,659536
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Launch Application: KALIBRATE_TONY,,2018-02-09T14:26:09.421+0000,2821,253308,662984
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Login,,2018-02-09T14:26:20.530+0000,6497,262680,663452
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Search widget search initiated with Product filter,,2018-02-09T14:26:35.837+0000,1948,317040,663772
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Launch Application: KALIBRATE_TONY,,2018-02-09T14:29:02.635+0000,2935,252092,671616
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Login,,2018-02-09T14:29:12.136+0000,4920,272484,672660
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Search widget search initiated with Product filter,,2018-02-09T14:29:27.391+0000,1493,316500,673920
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Click Generate Prices button in Multi Pricing Widget,,2018-02-09T14:33:43.352+0000,15282,468312,656304
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Search widget search initiated with Sites for review filter,,2018-02-09T14:39:04.522+0000,7559,593644,653316
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0009344 - CLEVELAND - (216) 691-3382,2018-02-09T14:40:50.622+0000,16376,713792,646628
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0009338 - CLEVELAND - (216) 251-6075,2018-02-09T14:41:13.257+0000,17811,733412,650364
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Reject Prices,0009196 - CLEVELAND - (440) 234-1622,2018-02-09T14:41:28.755+0000,11479,754412,652360
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0008641 - CLEVELAND - (216) 671-5943,2018-02-09T14:41:48.149+0000,15146,776656,659856
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0008605 - CLEVELAND - (216) 587-4309,2018-02-09T14:42:12.720+0000,16273,799144,660588
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0008556 - CLEVELAND - (440) 323-6660,2018-02-09T14:42:30.295+0000,13362,854912,661332
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Reject Prices,0008339 - CLEVELAND - (216) 228-8141,2018-02-09T14:42:47.743+0000,12580,872320,661908
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0008133 - CLEVELAND - (440) 826-0171 (CFL),2018-02-09T14:43:05.109+0000,13041,881940,662660
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0007690 - CLEVELAND - (440) 617-9076,2018-02-09T14:43:37.814+0000,24956,905108,648436
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0005417 - CLEVELAND - (216) 433-0886,2018-02-09T14:43:53.330+0000,11440,901788,650652
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Reject Prices,0005404 - CLEVELAND - (440) 899-0179,2018-02-09T14:44:09.816+0000,12211,933000,654192
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0005402 - CLEVELAND - (440) 255-8466,2018-02-09T14:44:27.229+0000,12736,948444,659312
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0004046 - CLEVELAND - (216) 663-2442,2018-02-09T14:44:44.219+0000,11657,958048,661288
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0004044 - CLEVELAND - (216) 382-4141,2018-02-09T14:45:07.249+0000,19075,976684,662908
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Reject Prices,0003999 - CLEVELAND - (330) 225-5671,2018-02-09T14:45:25.280+0000,13978,992388,663668
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0003998 - CLEVELAND - (440) 942-7020,2018-02-09T14:45:45.201+0000,15874,1030564,784124
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0003698 - CLEVELAND - (440) 365-9027,2018-02-09T14:46:07.691+0000,15795,1057192,787200
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0003694 - CLEVELAND - (440) 238-0253,2018-02-09T14:46:23.283+0000,11506,1058124,788172
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Reject Prices,0003690 - CLEVELAND - (440) 949-8524,2018-02-09T14:46:45.214+0000,17930,1080612,790060
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices,0003677 - CLEVELAND - (440) 234-3193,2018-02-09T14:47:03.609+0000,14366,1107132,790224
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,Process Sites For Review 1,Apply Prices Adjusted,0003654 - CLEVELAND - (440) 235-6410,2018-02-09T14:47:23.292+0000,13415,1120400,790252
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Launch Application: KALIBRATEQA_2.9,,2018-02-12T09:34:15.213+0000,6593,266352,589808
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Login,,2018-02-12T09:34:21.785+0000,1677,278476,590832
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Launch Application: KALIBRATEQA_2.9,,2018-02-12T09:36:59.925+0000,6474,266444,586416
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Login,,2018-02-12T09:37:06.369+0000,1514,282944,587560
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Launch Application: KALIBRATEQA_2.9,,2018-02-12T10:41:08.647+0000,6058,264960,883520
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Login,,2018-02-12T10:41:17.890+0000,4316,266980,883864
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Launch Application: KALIBRATEQA_2.9,,2018-02-12T13:14:22.662+0000,5988,260284,761156
SPDWAYAUTOTEST,CHROME,KALIBRATEQA_2.9,NA,http://773358-uststa02.cloud.kalibratetech.com/QA29v33Kalibrate,It is possible to login if valid credentials are provided,Login,,2018-02-12T13:14:33.727+0000,6312,276872,761252
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:10:36.142+0000,3289,273168,678820
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Login,,2018-02-12T15:10:46.521+0000,5799,266140,684184
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is not possible to login when username and password are not provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:11:12.830+0000,4540,253844,719380
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is not possible to login when only a username is provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:11:34.515+0000,3418,252844,723676
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is not possible to login when only a password is provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:11:56.502+0000,3661,256460,724768
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is not possible to login if invalid credentials are provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:12:18.306+0000,3097,253644,725876
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Launch Application: KALIBRATE_TONY,,2018-02-12T15:12:39.596+0000,2991,252936,726284
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,It is possible to login if valid credentials are provided,Login,,2018-02-12T15:12:48.783+0000,5063,261000,727076
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for all sites by specifying no filter,Launch Application: KALIBRATE_TONY,,2018-02-12T15:13:01.643+0000,3117,252520,727244
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for all sites by specifying no filter,Login,,2018-02-12T15:13:10.811+0000,5138,258240,727416
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for all sites by specifying no filter,Search no filter,,2018-02-12T15:13:28.126+0000,9280,294748,741772
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for all sites by specifying no filter,Search no filter,,2018-02-12T15:13:28.609+0000,181,294552,741780
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for all sites by specifying no filter,Search no filter,,2018-02-12T15:13:29.059+0000,177,294528,741784
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for sites using a name filter,Launch Application: KALIBRATE_TONY,,2018-02-12T15:13:41.863+0000,3001,252860,741796
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,A user can search for sites using a name filter,Login,,2018-02-12T15:13:51.642+0000,5700,262288,742176
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,As a user I want to be able to add widgets to my workspace which display accordingly,Launch Application: KALIBRATE_TONY,,2018-02-12T15:14:16.526+0000,3249,258164,743180
SPDWAYAUTOTEST,CHROME,KALIBRATE_TONY,NA,http://tony.kalibratetech.com/,As a user I want to be able to add widgets to my workspace which display accordingly,Login,,2018-02-12T15:14:25.746+0000,5195,263548,743184
